"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time","totaltime1","totaltime2","totaltime3","totaltime4"
"54",19,603,"diancilu",1500,12,0.875,"tianranqi",NA,20,1.5,"dianfanguo",850,20,0.375,"gaoyaguo",NA,4,0.875,10.5,30,7.5,3.5
"55",19,548,"yehuaqi",NA,60,0.375,"dianfanguo",NA,60,0.375,"yehuaqi",NA,4,0.375,"dianfanguo",NA,60,0.375,22.5,22.5,1.5,22.5
"56",19,547,"xinchai",NA,12,0.875,"yehuaqi",NA,90,0.625,"dianfanguo",NA,90,0.375,"gaoyaguo",600,12,0.625,10.5,56.25,33.75,7.5
"57",9,547,"yehuaqi",NA,90,0.375,"yehuaqi",NA,90,0.375,"weibolu",1250,12,0.25,"gaoyaguo",NA,12,0.625,33.75,33.75,3,7.5
"58",9,546,"xinchai",NA,90,0.625,"dianfanguo",600,60,0.375,"diancilu",1250,30,0.375,"gaoyaguo",NA,0,0.25,56.25,22.5,11.25,0
"59",9,515,"dianfanguo",600,90,0.375,"yehuaqi",NA,60,0.375,"xinchai",NA,60,0.625,"weibolu",850,4,0.25,33.75,22.5,37.5,1
"60",9,602,"dianfanguo",600,60,0.375,"xinchai",NA,60,0.625,"diancilu",1500,60,0.875,"dianshuihu",NA,30,0.25,22.5,37.5,52.5,7.5
"61",9,575,"yehuaqi",NA,90,0.375,"dianfanguo",400,60,0.375,"dianshuihu",300,90,0.25,"gaoyaguo",NA,12,0.625,33.75,22.5,22.5,7.5
"62",24,575,"xinchai",NA,90,0.25,"dianfanguo",1500,60,0.375,"gaoyaguo",1500,12,0.25,"dianshuihu",1250,90,0.625,22.5,22.5,3,56.25
"63",24,548,"diancilu",1500,90,1.5,"dianfanguo",1250,30,0.625,"dianshuihu",1250,90,0.25,"gaoyaguo",NA,8,0.375,135,18.75,22.5,3
"64",24,595,"diancilu",1500,90,0.375,"dianfanguo",NA,90,0.625,"dianshuihu",600,60,0.25,"diancilu",1500,30,0.625,33.75,56.25,15,18.75
"65",24,561,"diancilu",1500,60,0.375,"yehuaqi",NA,60,0.375,"dianshuihu",NA,90,0.25,"dianfanguo",NA,90,0.375,22.5,22.5,22.5,33.75
"66",24,576,"diancilu",1500,90,0.375,"dianfanguo",400,90,0.375,"dianshuihu",600,90,0.25,"weibolu",850,30,0.25,33.75,33.75,22.5,7.5
"67",24,511,"yehuaqi",NA,90,0.375,"weibolu",1250,60,0.25,"dianfanguo",850,60,0.25,"gaoyaguo",850,8,0.25,33.75,15,15,2
"68",16,590,"xinchai",NA,90,0.375,"dianfanguo",1250,30,0.375,"gaoyaguo",1500,60,0.25,"dianfanguo",1250,30,0.25,33.75,11.25,15,7.5
"69",16,547,"diancilu",1500,90,0.625,"dianfanguo",850,60,0.625,"weibolu",850,90,0.375,"dianshuihu",400,90,0.375,56.25,37.5,33.75,33.75
"70",16,576,"meiqi",NA,60,0.375,"dianfanguo",850,60,0.625,"gaoyaguo",1250,30,0.625,"dianshuihu",850,60,0.25,22.5,37.5,18.75,15
"71",16,564,"dianfanguo",NA,60,0.625,"yehuaqi",NA,90,0.625,"diancilu",NA,90,0.625,"gaoyaguo",NA,12,1.5,37.5,56.25,56.25,18
"72",16,525,"dianfanguo",850,90,0.625,"diancilu",1500,90,0.375,"weibolu",400,60,0.375,"dianshuihu",400,60,0.25,56.25,33.75,22.5,15
"73",10,532,"yehuaqi",NA,90,0.875,"dianfanguo",NA,60,0.625,"diancilu",NA,8,0.625,"gaoyaguo",NA,8,0.625,78.75,37.5,5,5
"74",10,526,"tianranqi",NA,20,0.375,"yehuaqi",NA,20,0.375,"dianshuihu",600,60,0.25,"diancilu",400,12,0.625,7.5,7.5,15,7.5
"75",10,525,"diancilu",1500,90,0.875,"yehuaqi",NA,8,0.875,"dianfanguo",1500,30,0.625,"gaoyaguo",1500,12,0.625,78.75,7,18.75,7.5
"76",10,526,"tianranqi",NA,60,0.625,"tianranqi",NA,60,0.625,"dianfanguo",400,60,0.625,"weibolu",1250,12,0.25,37.5,37.5,37.5,3
"77",10,575,"diancilu",NA,90,0.875,"tianranqi",NA,90,0.625,"dianfanguo",NA,90,0.625,"dianshuihu",400,90,0.375,78.75,56.25,56.25,33.75
"78",18,525,"diancilu",1500,90,0.875,"yehuaqi",NA,60,0.25,"jiegan",NA,8,0.375,"zaoqi",NA,60,0.25,78.75,15,3,15
"79",21,532,"yehuaqi",NA,90,0.375,"dianfanguo",600,30,0.375,"xinchai",NA,4,0.625,"dianshuihu",400,20,0.25,33.75,11.25,2.5,5
"80",21,561,"tianranqi",NA,90,0.375,"dianfanguo",300,60,0.625,"gaoyaguo",400,60,0.375,"dianshuihu",1500,90,0.25,33.75,37.5,22.5,22.5
"81",21,602,"yehuaqi",NA,90,0.375,"dianfanguo",300,60,0.25,"gaoyaguo",300,12,0.625,"diancilu",400,90,0.25,33.75,15,7.5,22.5
"82",21,525,"xinchai",NA,8,1.5,"yehuaqi",NA,90,0.625,"dianfanguo",1500,90,0.375,"gaoyaguo",1500,90,0.625,12,56.25,33.75,56.25
"83",22,548,"tianranqi",NA,90,0.875,"dianfanguo",850,60,0.625,"gaoyaguo",850,12,0.875,"weibolu",600,30,0.25,78.75,37.5,10.5,7.5
"84",22,525,"xinchai",NA,90,0.875,"gaoyaguo",850,90,0.375,"diancilu",1500,20,1.5,"dianshuihu",1500,90,0.25,78.75,33.75,30,22.5
"85",12,548,"dianfanguo",600,30,0.875,"yehuaqi",NA,30,0.625,"diancilu",1500,60,0.375,"weibolu",1500,8,0.25,26.25,18.75,22.5,2
"86",12,562,"tianranqi",NA,90,0.875,"dianfanguo",1250,90,0.375,"weibolu",1500,20,0.25,"dianshuihu",850,90,0.375,78.75,33.75,5,33.75
"87",12,532,"dianshuihu",NA,90,0.25,"yehuaqi",NA,90,0.375,"dianfanguo",NA,30,0.375,"gaoyaguo",NA,30,0.375,22.5,33.75,11.25,11.25
"88",12,566,"yehuaqi",NA,90,0.375,"dianfanguo",850,90,0.375,"gaoyaguo",NA,20,0.375,"weibolu",NA,8,0.25,33.75,33.75,7.5,2
"89",12,526,"yehuaqi",NA,90,0.375,"dianfanguo",600,60,0.25,"diancilu",850,12,0.375,"dianshuihu",400,12,0.25,33.75,15,4.5,3
"90",12,548,"dianfanguo",1250,60,0.625,"tianranqi",NA,90,0.375,"weibolu",1250,60,0.375,"dianshuihu",600,90,0.375,37.5,33.75,22.5,33.75
"91",12,590,"diancilu",1250,4,0.625,"yehuaqi",NA,90,0.625,"dianfanguo",600,60,0.375,"dianshuihu",1250,90,0.25,2.5,56.25,22.5,22.5
"92",12,576,"diancilu",1500,30,0.625,"dianfanguo",1250,30,0.375,"yehuaqi",NA,30,0.625,"dianshuihu",1250,90,0.25,18.75,11.25,18.75,22.5
"93",12,625,"yehuaqi",NA,90,0.375,"dianfanguo",NA,NA,0.375,"gaoyaguo",NA,60,0.375,"dianshuihu",NA,20,0.25,33.75,NA,22.5,5
"94",12,590,"yehuaqi",NA,90,0.375,"dianfanguo",NA,60,0.375,"gaoyaguo",NA,60,0.375,"dianshuihu",NA,90,0.25,33.75,22.5,22.5,22.5
"95",12,577,"diancilu",NA,60,1.5,"dianfanguo",NA,60,0.625,"gaoyaguo",NA,12,1.5,"weibolu",NA,12,0.25,90,37.5,18,3
"96",12,548,"yehuaqi",NA,90,0.625,"dianshuihu",1250,90,0.375,"dianfanguo",600,90,0.875,"gaoyaguo",NA,30,0.375,56.25,33.75,78.75,11.25
"97",12,591,"tianranqi",NA,60,0.375,"dianfanguo",850,60,0.375,"gaoyaguo",1250,60,0.375,"dianshuihu",850,90,0.25,22.5,22.5,22.5,22.5
"98",12,562,"tianranqi",NA,90,0.875,"dianfanguo",400,30,0.625,"dianshuihu",1250,60,0.25,"gaoyaguo",850,4,0.625,78.75,18.75,15,2.5
