"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time"
"97",5,590,"xinchai",NA,60,0.625,"yehuaqi",NA,60,0.875,NA,NA,NA,NA,NA,NA,NA,NA
"98",5,506,"jiegan",NA,90,0.375,"jiegan",NA,20,0.375,"dianfanguo",NA,60,0.375,"dianshuihu",NA,60,0.375
"99",31,506,"xinchai",NA,90,0.625,"dianfanguo",1500,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"100",31,617,"diancilu",1500,90,0.625,"dianfanguo",850,30,0.375,"dianshuihu",NA,30,0.25,NA,NA,NA,NA
"101",31,547,"jiegan",NA,90,0.25,"dianfanguo",600,30,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"102",31,575,"xinchai",NA,90,0.625,"dianfanguo",1250,90,0.625,NA,300,60,0.25,NA,NA,NA,NA
"103",31,547,"xinchai",NA,90,0.625,"dianfanguo",NA,30,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"104",31,574,"dianfanguo",NA,20,0.375,"jiegan",NA,90,0.625,"jiegan",NA,90,0.625,NA,NA,NA,NA
"105",31,547,"xinchai",NA,90,0.875,"dianfanguo",1250,30,0.625,"dianshuihu",600,20,0.25,NA,NA,NA,NA
"106",31,561,"jiegan",NA,90,0.625,"dianfanguo",1500,30,0.375,"diancilu",1500,30,0.375,"dianshuihu",1500,12,0.25
"107",31,575,"xinchai",NA,90,0.375,"dianfanguo",NA,20,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"108",31,547,"yehuaqi",NA,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",31,525,"tianranqi",NA,90,0.625,"dianshuihu",600,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"110",31,590,"yehuaqi",NA,90,0.375,"dianfanguo",850,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"111",31,547,"diancilu",NA,90,0.375,"dianfanguo",NA,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"112",31,506,"xinchai",NA,90,0.375,"dianfanguo",850,12,0.625,NA,1500,8,0.625,NA,NA,NA,NA
"113",31,547,"yehuaqi",NA,90,1.5,"dianfanguo",600,90,0.875,NA,NA,NA,NA,NA,NA,NA,NA
"114",31,547,"jiegan",NA,20,0.875,"yehuaqi",NA,30,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"115",31,541,"dianfanguo",NA,90,0.375,"yehuaqi",NA,90,0.375,"diancilu",NA,60,0.375,NA,NA,NA,NA
"116",31,547,"yehuaqi",NA,90,0.375,"dianfanguo",NA,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"117",31,525,"dianfanguo",600,60,0.375,"diancilu",NA,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"118",31,526,"jiegan",NA,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
