"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time"
"83",4,"42000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"84",4,"40000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"85",4,"40000",8,NA,1,2," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"86",4,"-2",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"87",4,"46666.66667",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"88",4,"13000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"89",4,"100000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"90",4,"-0.5",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"91",4,"15000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"92",4,"-2",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"93",4,"27500",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"94",4,"25000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"95",4,"75000",8,NA,1,3,"11",2,4,"2"," ",NA,NA," "," ",NA,NA,NA
"96",4,"25000",7,NA,2,2,"11",3,3,"2"," ",NA,NA," "," ",NA,NA,NA
"97",4,"25000",8,NA,1,2," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"98",4,"20000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"99",4,"30000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"100",4,"-1",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"101",4,"16666.66667",7,NA,1,3,"11",2,3,"3","1",NA,-8,"8","16",-8,5,2
"102",4,"18333.33333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"103",4,"75000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"104",4,"75000",8,NA,1,3,"11",4,3,"3","16",3,1,"1","13",3,2,1
"105",4,"6000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"106",4,"100000",8,NA,1,2,"13",6,5,"1","12",5,5,"5","11",5,6,3
"107",4,"21000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"108",4,"25000",7,NA,3,2,"6",3,2,"2"," ",NA,NA," "," ",NA,NA,NA
"109",4,"100000",8,NA,1,3,"12",4,3,"2","13",4,2,"1","16",5,1,1
"110",4,"40000",8,NA,3,2,"11",1,5,"2","13",1,5,"1","16",1,1,1
"111",4,"50000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"112",4,"17500",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"113",4,"30000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"114",4,"-1.5",8,NA,7,-8,"16",6,7,"1"," ",NA,NA," "," ",NA,NA,NA
"115",4,"-0.333333333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"116",4,"1333.333333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"117",4,"5000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"118",4,"6000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"119",4,"13333.33333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"120",4,"-1",11,1,2,3,"16",6,2,"1","6",5,2,"1"," ",NA,NA,NA
"121",4,"50000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"122",4,"7000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"123",4,"-0.4",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"124",4,"42000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"125",4,"20000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"126",4,"36000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"127",4,"266666.6667",6,6,5,1,"11",3,5,"2","17",2,6,"3"," ",NA,NA,NA
"128",4,"66000",9,NA,1,3,"6",1,2,"2","11",1,4,"4"," ",NA,NA,NA
"129",4,"6666.666667",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"130",4,"30000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"131",4,"5000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"132",4,"25000",8,NA,2,2,"11",-8,5,"2","16",6,3,"1","13",-8,5,1
"133",4,"150000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"134",4,"33000",8,NA,1,5,"11",-8,5,"3"," ",NA,NA," "," ",NA,NA,NA
"135",4,"30000",7,NA,1,3," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"136",4,"50000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"137",4,"40000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"138",4,"50000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"139",4,"80000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"140",4,"36000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"141",4,"21780",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"142",4,"-0.6",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"143",4,"-1",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"144",4,"5000",7,NA,1,2," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"145",4,"-1",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"146",4,"23333.33333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"147",4,"12500",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"148",4,"-0.666666667",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"149",4,"-300000",16,6,6,1," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"150",4,"50000",6,-8,5,3,"8",NA,1,"4","11",-8,2,"5","16",-8,1,2
"151",4,"-0.75",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"152",4,"93333.33333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"153",4,"400000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"154",4,"12500",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"155",4,"40000",8,NA,2,3,"11",1,2,"2","13",2,1,"1","14",3,6,4
"156",4,"33333.33333",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
