"","kinds","efficiency","frequency","time"
"4442","dianfanguo","850","90","0.375"
"4446","diancilu","600","90","0.625"
"4456","dianfanguo",NA,"60","0.625"
"4458","dianfanguo","300","90","1.5"
"4459","dianfanguo","850","60","0.625"
"4466","dianfanguo","600","30","0.375"
"4469","diancilu","600","60","0.375"
"4473","diancilu","850","60","0.25"
"4484","diancilu","1500","90","0.625"
"4488","diancilu","1500","90","0.25"
"4497","dianfanguo","400","12","0.375"
"4508","diancilu","850","90","0.375"
"4518","diancilu","1500","90","0.875"
"4541","dianfanguo","600","12","0.375"
"4547","dianfanguo","850","90","0.375"
"4557","diancilu","300","20","0.375"
"4575","dianfanguo","300","30","0.625"
"4581","diancilu","600","90","0.625"
"4591","diancilu","850","90","0.625"
"4603","dianfanguo","600","90","0.625"
"4611","diancilu","1500","90","3"
"4627","dianfanguo","850","90","0.375"
"4643","diancilu","1500","90","0.375"
"4647","diancilu","1500","90","0.625"
"4653","diancilu","400","60","0.375"
"4654","dianshuihu","1500","60","0.25"
"4703","diancilu","1500","60","0.625"
"4714","dianfanguo","1250","60","0.375"
"4721","dianfanguo","600","90","0.375"
"4768","dianfanguo","600","60","0.375"
"4790","diancilu","1500","60","0.25"
"4809",NA,NA,"90","0.375"
"4820","diancilu","1500","90","0.625"
"4822","diancilu","1500","90","0.375"
"4824","gaoyaguo",NA,"60","0.625"
"4825","diancilu","1500","90","0.375"
"4826","diancilu","1250","90","0.875"
"4838","weibolu","1500","60","0.375"
"4856","dianfanguo","1500","90","0.375"
"4862","diancilu","850","90","0.875"
"4863","diancilu",NA,"30","0.25"
"4868","diancilu","1500","90","0.625"
"4883","diancilu","1500","90","0.375"
"4887","diancilu","1500","90","0.375"
"4901","diancilu","1500","60","0.625"
"4911","diancilu",NA,"90","0.375"
"4919","dianfanguo","850","60","0.625"
"4920","diancilu","850","90","0.625"
"4922","diancilu","1500","90","0.625"
"4925","diancilu","1500","30","0.625"
"4927","diancilu","1500","90","0.875"
"4932","diancilu","1500","90","1.5"
"4939","dianfanguo","300","90","0.375"
"4944","dianfanguo","400","60","0.375"
"4947","diancilu","1250","90","0.875"
"4954","diancilu","1250","90","0.625"
"4961","diancilu","1500","90","0.375"
"4970","diancilu","1250","90","1.5"
"4972","dianfanguo","300","90","0.625"
"4975","diancilu","1500","60","0.375"
"4979","diancilu","1500","60","0.375"
"4988","diancilu","1500","90","0.625"
"4997","diancilu","1500","90","0.625"
"4999","diancilu","1500","90","0.375"
"5001","dianfanguo","600","60","0.625"
"5007","diancilu",NA,NA,"0.375"
"5012","diancilu","1500","90","0.375"
"5016","diancilu","1500","90","0.625"
"5025","diancilu","1500","60","0.625"
"5027","dianfanguo","850","90","0.375"
"5032","dianfanguo","850","60","0.625"
"5035","diancilu","1500","90","0.625"
"5039","diancilu","400","90","0.875"
"5044","diancilu",NA,NA,"0.875"
"5046","diancilu","1250","90","0.375"
"5055","diancilu","1500","90","0.375"
"5062","diancilu","1500","90","0.625"
"5065","dianfanguo","850","90","0.375"
"5078","diancilu","1500","90","0.375"
"5086","diancilu","400","60","0.625"
"5091","diancilu","1500","30","0.625"
"5099","diancilu","1500","90","0.375"
"5100","dianshuihu","1500","60","0.375"
"5101","dianshuihu","1500","90","0.25"
"5108","dianfanguo",NA,"90","0.625"
"5112","dianfanguo",NA,"90","0.625"
"5117","dianfanguo","1250","90","0.625"
"5127","dianfanguo","600","60","0.375"
"5130","diancilu","1250","90","0.875"
"5147","dianfanguo",NA,"60","0.625"
"5162","dianfanguo","850","90","0.375"
"5172","dianfanguo","850","60","0.625"
"5186","diancilu","400","90","1.5"
"5192","diancilu","1500","60","0.375"
