s41,s42,s43,s44,s45,e13a,e13aa,e13b,e13ba,e13c,e13d,e13e,e13f,e13fa,e14a,e14aa,e14b,e14ba,e14c,e14d,e14e,e14f,e14fa,e15a,e15aa,e15b,e15ba,e15c,e15d,e15e,e15f,e15fa,e16a,e16aa,e16b,e16ba,e16c,e16d,e16e,e16f,e8901,e8902,e8903,e8904,e8905,e8906,e8907,e8908,e8909,e8910,e89a,e90a,e90aa,e90b,e90c,e90d,e90da,e90e,e90f,e90g,e90h,e90i,e90ia,e90j,e90ja,e90k,e90ka,e91a,e91aa,e91b,e91c,e91d,e91da,e91e,e91f,e91g,e91h,e91i,e91ia,e91j,e91ja,e91k,e91ka,e94a,e94aa,e94b,e94c,e94d,e94da,e94e,e94f,e94g,e94h,e94i,e94ia,e94j,e94ja,e94k,e94ka,e95a,e95aa,e95b,e95c,e95f,e95g,e95h,e95i,e95ia,e95j,e95ja,e95k,e95ka,e96a,e96aa,e96b,e96c,e96f,e96g,e96h,e96i,e96ia,e96j,e96ja,e96k,e96ka,e99a,e99aa,e99b,e99c,e99d,e99da,e99e,e99f,e99g,e99h,e99i,e99ia,e99j,e99ja,e99k,e99ka
4,7,22,38,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,28,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,什么都不用, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,36,65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,17,30,55,6, ,1, ,-8,3,4,1, ,8, , , , ,2,4,1, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,4,2000,2.5,500,2000,1, ,2, ,6,五年, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,20,35,62,8, , , , ,2,2,2, ,11, ,1, ,1,2,2,2, ,6, ,1, ,5,6,2,4, ,13, ,-8, ,3,4,3,2,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,600,4,150,600,2, ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,20,35,62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,19,32,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,28,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,36,65,9, , , , ,1,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,-2,-2,-2,-2,1, ,1, ,5, , , , , , , , , , , , , , , , , 
4,7,14,25,46,8, , , , ,5,5,1, ,13, ,1, ,4,4,1,6, ,11, ,1, ,-8,5,2,2, ,14, ,1, ,-8,7,2,5,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,-2,-2,-2,-2,2, ,4, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,29,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,17,30,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,18,31,57,6, ,1, ,6,3,3,1, ,11, ,1, ,4,5,3,2, ,13, ,1, ,5,6,1,6, ,16, ,1, ,5,1,1,7,0,0,0,0,0,0,0,0,0,0,电, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,68,8, , , , ,1,3,2, ,6, ,1, ,6,7,3,2, ,11, ,1, ,-8,5,3,2, ,12, ,1, ,-8,6,2,3,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,3,0,2.27999997138977,200,456,1, ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,29,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,17,30,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,28,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,20,35,62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,29,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,28,52,8, , , , ,1,3,1, ,13, ,1, ,4,1,2,6, ,11, ,1, ,3,1,4,2, ,12, ,1, ,5,4,5,4,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,-8,0,2.27999997138977,90,200,2, ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,17,30,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,19,32,58,6, ,3, ,2,5,3,1, ,11, ,1, ,1,3,5,2, ,16, ,1, ,1,1,1,7, ,13, ,1, ,1,5,1,6,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,0,2.70000004768372,-2,150,1, ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,28,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,18,31,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,20,34,61,8, , , , ,3,2,1, ,13, ,1, ,-8,3,1,6, ,11, ,1, ,-8,5,3,2, ,16, ,1, ,-8,3,1,7,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,-8,0,-2,-2,-2,1, ,4, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,20,34,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,69,7, , , , ,2,3,1, ,11, ,1, ,3,3,2,2, , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2,0,5, ,30,95,0,0,1, ,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,37,67,7, , , , ,3,1,1, ,11, ,1, ,-8,2,2,2, ,16, ,1, ,1,4,1,7, , , , , , , , , ,0,0,0,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,0,5, ,25,120,4,480,1, ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,37,67,8, , , , ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,-8,-2,-2,-2,1000,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,25,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,36,65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,17,30,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,18,31,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,19,32,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,37,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,29,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,17,30,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,29,53,8, , , , ,1,2,1, ,11, ,1, ,2,3,2,2, ,16, ,1, ,5,3,1,7, ,13, ,1, ,5,4,1,6,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,-2,2.04999995231628,200,400,1, ,2, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,17,30,55,7, , , , ,1,3,1, ,6, ,1, ,6,4,3,1, ,13, ,1, ,3,3,2,6, ,14, ,1, ,5,7,3,9,0,0,0,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,4,0,5, ,30,95,10,950,1, ,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,36,65,8, , , , ,2,2,1, ,11, ,1, ,5,3,2,2, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,-2,-2,-2,-2,2, ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,17,30,54,8, , , , ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,0,2.29999995231628,200,500,1, ,3, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,37,67,8, , , , ,1,2,2, ,16, ,1, ,1,1,1,7, ,13, ,1, ,3,1,1,6, ,11, ,1, ,2,3,1,2,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,0,2.27999997138977,240,547,2, ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,17,30,54,7, , , , ,1,3,2, ,16, ,1, ,6,3,2,7, ,11, ,1, ,3,5,2,2, , , , , , , , , ,0,0,0,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,5,-2,5, ,10,40,400,400,1, ,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,68,6, ,1, ,6,6,5,1, ,8, , , , ,1,5,1, ,11, ,1, ,6,3,3,2, ,12, ,1, ,6,6,3,1,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2,-2,2.5,100,2500,1, ,2, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,17,30,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,20,34,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,69,11, ,1, ,-8,3,3,2, ,7, , , , ,3,3,1, ,16, ,1, ,1,3,1,7, , , , , , , , , ,0,0,0,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2,0,5, ,50,90,1000,1000,1, ,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,18,31,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,18,31,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,16,28,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,22,38,68,8, , , , ,1,3,1, ,11, ,1, ,1,3,3,2, ,12, ,1, ,6,5,5,3, , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,0,2.20000004768372,100,200,1, ,2, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,36,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,20,34,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,37,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,20,34,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,37,67,8, , , , ,1,3,1, ,11, ,1, ,2,5,2,2, ,12, ,1, ,-8,7,2,4, ,13, ,1, ,5,7,1,6,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,0,-2,120,300,1, ,2, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,49,8, , , , ,2,4,2, ,11, ,1, ,3,3,2,2, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2,-2,-2,-2,-2,1, ,2, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,21,36,65,8, , , , ,1,4,2, ,11, ,1, ,-8,5,2,3, ,12, ,1, ,-8,5,3,2, ,13, ,1, ,-8,3,1,2,0,0,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2,0,2.29999995231628,150,350,1, ,2, ,5, , , , , , , , , , , , , , , , , 
4,7,14,26,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,48,8, , , , ,1,4,2, ,6, ,1, ,5,6,2,7, ,14, ,1, ,-8,6,4,5, ,16, ,1, ,-8,1,1,7,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,0,2.07999992370605,3000,3000,2, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,48,6, ,1, ,-8,8,-8,-8, ,8, , , , ,1,3,3, ,11, ,1, ,-8,8,-8,-8, ,12, ,1, ,-8,5,4,2,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,3,0,-2,-2,-2,1, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,25,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,19,32,58,8, , , , ,1,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,0,2.79999995231628,-2,-2,1, ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,48,6, ,1, ,-8,4,1,1, ,13, ,1, ,-8,4,1,6, ,16, ,1, ,-8,1,2,7, ,11, ,1, ,-8,5,3,3,0,0,0,0,0,0,0,0,0,0,电, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,7,14,26,49,11, ,1, ,1,3,2,2, ,8, , , , ,2,2,1, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,0,2.5,250,3000,1, ,2, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
